"Relative Time","Hits"
"00:00","0"
"00:04","3.25"
"00:08","0"
"00:12","0"
"00:16","0"
"00:20","3.25"
"00:24","0"
"00:28","0.75"
"00:32","5.25"
"00:36","0"
"00:40","0.75"
"00:44","2"
"00:48","0.25"
"00:52","3.25"
"00:56","0.75"
"01:00","2.25"
"01:04","0"
"01:08","0"
"01:12","0"
"01:16","1"
"01:20","5.5"
"01:24","0.5"
"01:28","3.5"
"01:32","0.5"
"01:36","0.5"
"01:40","0"
"01:44","3.75"
"01:48","0.5"
"01:52","0"
"01:56","0"
"02:00","0.25"
"02:04","7"
"02:08","1"
"02:12","3.5"
"02:16","0.5"
"02:20","0.5"
"02:24","0"
"02:28","3.75"
"02:32","0.5"
"02:36","0"
"02:40","0"
"02:44","0.25"
"02:48","7"
"02:52","1"
"02:56","3.5"
"03:00","0.5"
"03:04","0.5"
"03:08","0"
"03:12","3.75"
"03:16","0.5"
"03:20","0"
"03:24","0"
"03:28","0.25"
"03:32","3.5"
"03:36","0.5"
"03:40","0"
"03:44","0.25"
"03:48","0"
