"Relative Time","Dynamic_Id_Transaction","Dynamic_Table_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","3.158"
"00:16","","","","3.111"
"00:28","","0.86","",""
"00:32","","","","3.304"
"00:40","","0.865","",""
"00:48","4.535","","",""
"00:52","","","","6.778"
"00:56","","0.88","",""
"01:00","0.656","","",""
"01:16","0.644","1.063","",""
"01:24","","1.321","",""
"01:32","0.678","","",""
"01:40","","1.281","",""
"01:44","0.709","","",""
"02:00","0.672","1.348","",""
"02:08","","1.292","",""
"02:16","0.691","","",""
"02:24","","1.402","",""
"02:28","0.658","","",""
"02:44","0.731","1.28","",""
"02:52","","1.293","",""
"03:00","0.654","","0",""
"03:08","","1.291","",""
"03:12","0.84","","0",""
"03:28","0.845","1.287","0",""
"03:44","0.848","","0",""
